,sentence,intent
8103,Go to the third part of this podcast.,58
8104,Give me fun,12
8105,Please go to Google Calendar.,50
8106,How many fans this person has.,49
8107,Remind me of this time.,50
8108,Playlist with Country Music,45
8109,Send a mail to my mom.,33
8110,Should I put sandals?,13
8111,increase the noise of the speaker,14
8112,Read me from this contact.,44
8113,Hello Olly I have a bad day today I can see to get fun,12
8114,Show today's memories,32
8115,Add a pen to the list of school articles,21
8116,Start my audio book from where I ended.,20
8117,Read me email to Jan Kowalski,44
8118,What is Marketing,26
8119,A good thing to do around me.,6
8120,What are the most important news,22
8121,Say Silence Please,35
8122,Add lunch with Elizabeth on the 2nd of January at the twelfth.,50
8123,What is the topic of reception,32
8124,Please enable the wemo.,24
8125,Alarm at eight on every day.,48
8126,count two plus two,39
8127,Do not forget to call the caregiver on Friday evening.,50
8128,What meetings I have in my calendar today?,32
8129,Tell me about Hugh Lourie.,49
8130,Hey olly what the weather will be today in Katowice,13
8131,Keep My Alarm,48
8132,Alarm for the meeting on Tuesday.,48
8133,Play with me.,51
8134,I have fifty dollars if I spend twenty four as much as I have left.,39
8135,Where is the nearest railway station,42
8136,Dance with me.,12
8137,Paper stone knife,51
8138,There are some concerts this week.,6
8139,which region has at least a thousand six hundred kilometers of open desert,49
8140,What is the date today,0
8141,Show me the alarms I set.,23
8142,Start Music in Playlist,45
8143,Increase the media noise,14
8144,increased noise,14
8145,Remove the stone mark from the contact list,53
8146,Artificial intelligence has consciousness,12
8147,What information do you have about UMF?,12
8148,What on Twitter,27
8149,Do I have any reminders?,32
8150,Book this day for this event from the calendar,50
8151,I had a success.,12
8152,Meeting with Anna on Friday,50
8153,Please give me the exchange rates between Polish gold and dollar,10
8154,What are the latest news about the economy?,22
8155,Intelligent Nest,24
8156,Show the phone number and email address,17
8157,Remove All Sunday Alarms,52
8158,Delete my wemo plug,8
8159,Look for a rock.,45
8160,How to cook cookies,9
8161,I have a new mail.,44
8162,Let me know what Mary posted on her Facebook on the weekend,27
8163,Show my contacts,17
8164,Play the melody now.,45
8165,Add oil change from the list of things to do,21
8166,Play some songs by Michael Jackson,45
8167,Remove my headsets.,46
8168,Open the Lord ring two towers and run,20
8169,The price of the allegro,4
8170,Play rock music,45
8171,Show me the news.,22
8172,It is terribly dark here.,41
8173,Open Spotify and play personal channel.,36
8174,How many current memories,32
8175,Book a train ticket to the Czech Republic tonight,2
8176,Create an electronic music list,45
8177,What's the most valued in the movie in my area,12
8178,Show my last email,44
8179,Tweet to t.v.n. and tell them that their service does not work again.,47
8180,I want to update all the latest news around the world.,12
8181,I want to plug in my computer in my office.,24
8182,I have had terrible things to happen today because my friend has been wrong with me.,12
8183,Give me a trip to Sphinx.,42
8184,Download all emails from my friend Cata vonstaragrabbera,44
8185,Tell me when the Indian economy will reach the level of America,49
8186,What is the weather now,13
8187,Get to the dentist in 2 hours.,50
8188,The weekend will be nice.,13
8189,Find a bar for me.,54
8190,Play a jazz station,36
8191,Go to Radio,36
8192,Do I have an email from Roman?,44
8193,Remember me this weekend at 9 a.m. on paying the electricity bill.,50
8194,What is the street traffic this morning?,11
8195,I want to listen to the playlist for learning.,45
8196,Start Music from the Electronic Playlist,45
8197,A deadline for Tuesday.,12
8198,Closed,46
8199,The Radio Menu,36
8200,The Twenty Most Popular Jazz Hits,45
8201,Please update the elections.,22
8202,Create a new list of food stores.,21
8203,Play but jazz by Sanah,45
8204,What is the price of CCC,4
8205,Remove all of my meetings from the calendar,30
8206,Create a list,21
8207,Reduce the noise to very quiet.,35
8208,How many business meetings I have this week,32
8209,What is Salceson,26
8210,Stop the sound.,14
8211,Check what is in my calendar today.,32
8212,What alarms are set at home,23
8213,Remember my alarms today.,23
8214,Can you find me and indicate the price of the Facebook share?,4
8215,What films played Kevin Spacey?,49
8216,I have the money I can spend every day in this month.,39
8217,The winds of the winds rise,45
8218,Alexa I want to check the free dates of July send her an email and ask about it,33
8219,Olly What a Song,57
8220,Should I wear warm clothes?,13
8221,What is the latest information about health reform?,22
8222,how you feel,12
8223,Show me today's weather for Mussolini,13
8224,J is.,50
8225,Get the latest news,22
8226,Nightlife,12
8227,Can you shake the light?,18
8228,There are accidents today.,11
8229,Play the next podcast.,58
8230,Sleep,52
8231,Current data,0
8232,Olly remind me to call Janka at 4 a.m.,50
8233,Please repeat the last sentence of this book.,20
8234,Help me find the answer to this question.,39
8235,Olly give the nearest place in the area where I can make shopping,19
8236,Will it be cloudy in Warsaw during the weekend?,13
8237,Where is the Niagara Falls,49
8238,And David has returned to me.,44
8239,Fast food offers,16
8240,How to prepare cooking products,9
8241,Changing Mountainous Time to Pacific,38
8242,Why Women Are So Mysterious,12
8243,In which store is the cheapest meat?,19
8244,What is the breath,26
8245,Can you exchange my money to,49
8246,Add an event that repeats over a month,50
8247,This year is the longest day.,0
8248,There is a menu at the restaurant.,3
8249,Please turn the alarm three hours before the scheduled event.,48
8250,send greetings by whatsapp,17
8251,Turn off the light in this room.,40
8252,Should I be worried about the automatic damper after launching,12
8253,Radio Zet,36
8254,Note this event in my calendar.,50
8255,Where to take my wife to dinner tonight?,12
8256,Today's Date,0
8257,Can you add an event on Friday night with the base and the eve?,50
8258,Send an email to Christoph that I am late.,33
8259,Add to your birthday calendar on the 2nd of May each year.,50
8260,Keep my opinion about the current song.,43
8261,Repeat My Latin Music List,45
8262,I want to add my mail address.,15
8263,scis speaker,46
8264,Update the status on Facebook,47
8265,New mail for contacts,33
8266,What is Clint Eastwood?,49
8267,Alexa defines TV,26
8268,Show the nearest cinema,55
8269,Make a coffee,56
8270,Tell me how to cook rice.,9
8271,Dive Dive,34
8272,Create a car route from here to the main market,42
8273,How much does a train ticket cost?,42
8274,Olly show the last emails by Jana,44
8275,What Hour,0
8276,What You Do,12
8277,Calculate the sum of thirteen and fourteen,39
8278,Meeting on next Monday,50
8279,Who sent me today and what was his topic?,44
8280,Tell me about Donald Trump.,49
8281,What is the weather this week?,13
8282,I want to hear a joke about your mother.,25
8283,Change this section.,58
8284,Show My Alarm,23
8285,Leave a Reply to Jerry,33
8286,Is it worth driving 10 miles from there to save on gasoline?,12
8287,Do I have any personal news on any social media?,27
8288,Some new news,22
8289,Remind me of the awakening that is set with the information that I have an event,50
8290,Where is Jonathan?,49
8291,Call the restaurant to ask if delivery is on the way.,3
8292,I have a sales meeting on this Thursday at 7 a.m. please remind me and add to the calendar,50
8293,Reply Please,33
8294,Order me a taxi clothes to Barbados,54
8295,Enable all the lights,41
8296,Let me know about all the information about the new nominees of the trump to ministers,22
8297,increased noise,14
8298,Play some classic rock before I'm crazy,45
8299,Continue from the moment I finished.,20
8300,Start the cleaning robot.,34
8301,Set a Monthly Reminder to Pay the Rental,50
8302,Local News from the World,22
8303,Remove tasks on March 23th,30
8304,Order a taxi for tomorrow morning.,54
8305,Play the Orange Song,45
8306,I'm busy tomorrow so remove all events from the calendar,30
8307,Define the coincidence,26
8308,The best shop in the area,19
8309,Show the nearest events in Warsaw,6
8310,Tell me about white.,22
8311,I have a new email.,44
8312,How old is Chuck Norris?,49
8313,Show me political news today.,22
8314,How many alarms are on the list,23
8315,Book tickets for the train,2
8316,What is the weather today,13
8317,Playing male games,45
8318,The restaurants near me are open.,19
8319,Play the best hits of the artist,45
8320,Clean up my calendar until the end of today.,30
8321,There are a lot of important events this month.,50
8322,Do I have any memories?,32
8323,How many jokes,25
8324,Send this message to a family group.,33
8325,Are there any posts I haven’t read?,44
8326,Write a mail to Zori,33
8327,where the train goes from the plate to the torunia,42
8328,Remove the electric nest completely.,8
8329,Turn forward and play the next part of the podcast,58
8330,What movies are in the local cinema?,55
8331,Should I take a parasol later?,13
8332,Reduce the noise,35
8333,Play the last episode of Impossible,36
8334,July Calendar Meeting,32
8335,How Much Does a Chicken Cost in Shanghai,16
8336,switch the radio to a hundred one and three f. m.,36
8337,What is in my calendar,32
8338,As if you described the sun.,26
8339,How long to wait for the order?,3
8340,Make five coffee and tell the coffee express.,56
8341,What movies are playing near me?,55
8342,I want to listen to toxins.,45
8343,Embrace a vacuum robot,34
8344,Please find the music of their three,45
8345,Today was a hard day.,12
8346,Appeal to Orange,47
8347,Increase the noise by 50 percent.,14
8348,switch to the station one hundred and three f. m.,36
8349,Time to Sleep Olly,40
8350,Show the last mail,44
8351,Remove everything from my calendar.,30
8352,What is the fastest route by boat to Japan?,42
8353,How Much Does Caesar Nuts Grow?,49
8354,Remember that tomorrow will be a meeting with Aristotle.,50
8355,Start the alarm in an hour.,48
8356,How to prepare chicken from grill,9
8357,What is a joke,26
8358,Google will set up my alarm to turn on in an hour.,48
8359,What is the capital of Tanzania,49
8360,Please tell me how to make a slurry.,12
8361,Make me happy juice,56
8362,It will rain in Warsaw.,13
8363,Play music from the event playlist,45
8364,Add to my calendar our 5th May Fashion Dinner,50
8365,It will rain on Saturday.,13
8366,Reply to this mail,33
8367,Tell me about my meetings this Wednesday morning.,32
8368,Show the cell number of Janka,17
8369,I ask for espresso.,56
8370,What time is in other time zones?,0
8371,Give me light in the tone of lavendy,1
8372,Can we shake the light?,18
8373,Let me let the winds go up.,45
8374,Order me a train trip.,2
8375,You have to do this on all important music files.,43
8376,Planning a meeting with Michael on Thursday morning.,50
8377,Tell me when three hours are gone.,50
8378,I have a bad experience with the plumbs in the hotel tweet it to customer service and give them a link related to this topic,47
8379,I have to make a list of food purchases,21
8380,I have a chandra tell me a joke.,12
8381,I ask for two pits gyros and a col zero.,16
8382,We play the circle and the cross.,51
8383,I want to get up at 6 a.m.,48
8384,Can you light the light please?,18
8385,Go to my list of friends.,59
8386,Go to the next section.,58
8387,Ask my brokers.,4
8388,Tell me about the news,22
8389,Play the hip hop playlist,45
8390,I want to know if I have any new memories.,32
8391,Where does Tom work?,17
8392,Gdańsk University has sent me an email.,44
8393,Start the music,45
8394,Please open the email that was sent today at 10 a.m.,44
8395,Remove the next wedding event,30
8396,Remember me a day earlier about a visit to the doctor.,50
8397,There are some new news on Twenty Four TVs.,22
8398,Please include this playlist in random mode.,28
8399,Play tennis with me.,51
8400,Search for a radio station called KSK on frequency one,36
8401,Olly Give a list of shops in the area,19
8402,What are the lists,59
8403,What are the Pink Stripes?,49
8404,It will rain tonight.,13
8405,Where to shop in the area,19
8406,What is the weather,13
8407,send a mail to the laury with information about the change of the dignified meeting,33
8408,In the Calendar Remembrance,50
8409,Great is Ohio.,49
8410,exchange courses,10
8411,The light on the blue at 5 p.m.,1
8412,What is traffic on the roads,11
8413,Include the Express in the Coffee,56
8414,Please set my notification an hour before my next event in my calendar.,50
8415,What kind of phone has a home phone number?,17
8416,Order me a big pizza without additives from the palermo pizza.,16
8417,What pubs are near the metro station,19
8418,Congratulations as you are today.,5
8419,What are the changes in the best offer,4
8420,Update my status,47
8421,Play Jazz Music,45
8422,If I could go anywhere in the world where I should go,12
8423,What is the latest joke?,25
8424,Give the exchange rate of the yen to the dollar today,10
8425,I want to listen to music from the radio station.,36
8426,Wake me up at fifth and thirty.,48
8427,Olly show interesting events in this area,6
8428,What time is in New York?,0
8429,Remove this event from the notifications in my calendar,30
8430,Can you set the red shade of lighting in the room?,1
8431,What is the weather in the house,13
8432,"I want to listen to the radio, please.",36
8433,Choose the Rules,9
8434,Say a funny fact.,12
8435,New news about the pitta brade,22
8436,It will be hot in two hours.,13
8437,Tell me about Sean Connery.,49
8438,Martin Luther King's Birthday,49
8439,Incorporate the Wemo Nest,24
8440,Play Christoph Zalevski Fun,45
8441,Meetings between May 10 and May 13,32
8442,Disconnect Office Lights,40
8443,What is my favorite music,43
8444,Playing Hip Hop Music,45
8445,Changes in noise,29
8446,I don’t want to hear more songs like this.,7
8447,Mark my calendar as unavailable today.,50
8448,Why Tom Izzo looks like a junk fuck when playing his team,12
8449,Download the podcast Criminatorium,58
8450,Lunch with Michael,30
8451,Next post Podcast,58
8452,Find a description of the smards.,26
8453,What is the exchange rate between the dollar and the British pound?,10
8454,Where can I get something to eat in the Museum of Art,19
8455,Who is leading in parliamentary elections?,22
8456,Rescue me,25
8457,Tell me a joke about dogs.,25
8458,The Day of God's Birth,0
8459,It is sunny and weather today or it is true.,13
8460,Give me a date,0
8461,Can you make me a cup of coffee?,56
8462,Enable the Dryer,34
8463,Weather statistics for this week.,13
8464,Who Sings This Song,57
8465,What are the longest rivers in the world,49
8466,Please turn the light.,41
8467,Play soft jazz.,45
8468,Where will the meeting be,32
8469,Read me new messages on my mail.,44
8470,Age of Brada Pitta,49
8471,Add a new year to your family next week.,50
8472,November 8th is Monday or another day.,0
8473,Remove my alarm tomorrow at 5am.,52
8474,Alexa add bananas to my shopping list,21
8475,Explain photosynthesis,26
8476,Give me a dark light.,31
8477,Current currency exchange rate,10
8478,How to get to the piranha in Gdansk,42
8479,What is the exchange rate of the Canadian Dollar and Dollar?,10
8480,"I have not received any daily messages yet, or you can get them a little closer to me.",22
8481,I need to keep in mind to get to the store before closing.,50
8482,What places I was in the first 15 days of this month?,32
8483,How long to cook eggs?,9
8484,The latest news about Donald Trump,22
8485,"If my Dryer is not enabled, activate it.",34
8486,How high is now in the,13
8487,What is the news this morning?,22
8488,Can you create a new event only with those people?,50
8489,Changes in noise,29
8490,A little more clear thanks.,18
8491,Check the battery level.,12
8492,I'm not happy with the new Ikea bed product.,47
8493,I want to listen to jazz,45
8494,Define the economy,26
8495,increased noise,14
8496,Do I have any reminders next Sunday?,32
8497,How many years is Caesar Nagoya?,49
8498,Read the email from July,44
8499,suggestions for the future,12
8500,Hello Olli what to hear,12
8501,"When everything is soft, add a spice of masala and cook it again on the patel.",9
8502,Change status,47
8503,Ask for clothes now.,54
8504,Application for Management,12
8505,Nature of Artificial Intelligence,12
8506,I would like to order a burger.,16
8507,What is the weather for this week?,13
8508,Tell me about this,26
8509,Remove the alarm set for tomorrow at 8 a.m.,52
8510,Order a Big Pizza from Dominium Pepperoni,16
8511,Play in the wardrobe,51
8512,Leave my favorite post on Spotify,36
8513,Control of noise,46
8514,Please turn off the kitchen.,40
8515,I want to know more about this person.,12
8516,Play the previous episode,58
8517,Open the contacts and find Jan Novak,17
8518,Remove the names of all my letters.,59
8519,Read my latest emails,44
8520,Add a note that I have a good day.,12
8521,Tell me something fun.,12
8522,How to Make Biryani,9
8523,Someone,26
8524,When I can receive my order,3
8525,I am not going to meet my mother for lunch tomorrow.,30
8526,Step by Step How to Save Music,45
8527,Can you turn off the lights in my bedroom?,40
8528,switch my clock from my current time zone to central time.,38
8529,Welcome to negotiate,12
8530,Reduce clarity,31
8531,Remind me of my 17th meeting.,50
8532,Check if your laptop works.,12
8533,What Happens in the Mouth,6
8534,Send a reminder email,33
8535,She sent me a mail.,44
8536,Include the Nest.,24
8537,Please give me the Sony price.,4
8538,To help the consumer that they should try to be more attractive,47
8539,How many new news have come since I last checked,44
8540,Give me a date and hour.,0
8541,Play the Bjork album I listened to the least.,45
8542,Give me the trains from the valve to the sopot after the twenty-third,42
8543,I want to send an email to my friend jacek bear gmail point com,33
8544,You can check if there are any new emails.,44
8545,Reply to Adam Kowalski,33
8546,Make a cyclic event on Monday at 7 a.m.,50
8547,I have to make a list of things to do for work.,21
8548,Play Christian rock with a thousand nine hundred nine hundred only choose such songs,45
8549,Tell me about the football match today.,22
8550,Book a ticket to the train from Knowledge to Opola,2
8551,Show the list for today.,50
8552,What I expect reminders,32
8553,Show all today's meetings with customers,32
8554,How much is 100 minus 50,39
8555,They will deliver it to me.,3
8556,Olly order me a train ticket to the city hel third no matter what time,2
8557,Send a mail to my brother with a question he will come to dinner.,33
8558,Weather Katowice,13
8559,What's Next on My List,59
8560,Where can I find a good foodtrucka with tacos in Los Angeles,19
8561,Instructions to the place,42
8562,Reply to this mail,33
8563,My mom wrote to me.,17
8564,Find Radio,36
8565,How many meetings I have tomorrow?,32
8566,Add a book club event at the bas on Wednesday evening,50
8567,Add the event to the calendar,50
8568,Olly Planning Meeting at 7 a.m.,50
8569,The album of Annie Dubrovnik,49
8570,What is a good gift for a girl,12
8571,Tweet to McDonald say I found hair in their burger,47
8572,He needs instructions how to get to the golden stain in the table mountains.,42
8573,Please remove the meeting on April 1st.,30
8574,to my sister's birthday send her flowers,50
8575,Meeting on March 15th,50
8576,I like the work in the background.,43
8577,Show new messages in the receiver box.,44
8578,Play my favorite radio.,36
8579,What has changed in the Polish language today?,22
8580,Music Number One,20
8581,How old is Adele?,49
8582,What do you know about the Tadeus Church?,49
8583,I want to hear my favorite song.,45
8584,Open your profile from my contacts,17
8585,I have a new mail from Raphael.,44
8586,I want to know if I have any emails from the market edk about the line budget.,44
8587,What is Thomas’s phone number?,17
8588,Please plan a meeting with Jack on accounting.,50
8589,The Nest Included,24
8590,Identify the object,26
8591,Change the color of light,1
8592,If there is ten afternoon which hour is in Brisbane,38
8593,Something is happening in Krakow today.,6
8594,This is a good song.,43
8595,The darkness undermines the light.,18
8596,Radio Law,36
8597,Completely light lighting.,18
8598,What's Happening to Hurricane in the Gulf,22
8599,Planning your trip by train.,2
8600,What to cook for lunch,37
8601,Tell me what the surface of the Asian continent is.,49
8602,I want to hear the best disco polo songs of the 1990s.,45
8603,Do I have any plans tonight at eight?,32
8604,Remember the birthday of Michael.,50
8605,Remove from my calendar the next meeting today,30
8606,I have a new mail of sandry.,44
8607,What will the weather be this week?,13
8608,What Happens,6
8609,Have I received a mail from Sophie?,44
8610,How high is Mel Gibson,49
8611,Please turn off the light.,40
8612,Add a meeting with an architect to a new list of projects,21
8613,How long will it take to get there?,42
8614,I have a mail from Andrew.,44
8615,Search in the receiver email box.,44
8616,Change the light in the room to yellow.,1
8617,Stop,46
8618,Play something,45
8619,Connect Radio,36
8620,Remember to put the carrots there.,21
8621,It will rain in the south.,13
8622,Time,0
8623,Find a bar in the colony open until the second morning,19
8624,I need a pizza which is the nearest place to deliver it.,16
8625,Please open the game I want to play with you,51
8626,Change the light from red to blue,1
8627,Give me the latest information.,22
8628,When it is twenty-two,0
8629,Play a party playlist,45
8630,How much are the allegro shares worth,4
8631,Set the alarm in the calendar.,50
8632,Include the rubber,34
8633,What is the US Gross Domestic Product?,49
8634,Send the next email to my sister.,33
8635,Give me the age of Norris,49
8636,Shut down in 30 minutes.,20
8637,Play poker with me.,51
8638,Olly or you can start paring,56
8639,What is the definition of the study?,26
8640,How long the cake is cooked?,9
8641,Can you describe iPhone 7?,26
8642,Every Wednesday evening at 5 a.m. remind me of the meeting with Philip,50
8643,Coffee is ready.,56
8644,Tell me which investment funds have the maximum annual return.,4
8645,Play my playlist on Spotify,45
8646,Check the note application and give me the details of all the lists.,59
8647,Please set up the alarm for the next morning at 7 a.m.,48
8648,Repeat the audio book,20
8649,What are the latest social insurance information?,22
8650,Latest events in New York,6
8651,Please leave Happy Birthday Poland on my table,47
8652,Ask me easy questions about what I know and tell me when I’m wrong.,12
8653,What alarms,23
8654,The train to the oil station on Wednesday at 7 is over time.,42
8655,Remove events from my list,53
8656,Please tell me what time is.,0
8657,Write it on the list.,21
8658,Please turn off the light completely.,31
8659,What is the time in the Eastern time zone,0
8660,Please keep awakening tomorrow at 7:30 am.,48
8661,I want to know the details of my next plan.,32
8662,The definition of schadenfraude,26
8663,Music 2,20
8664,Turn off the light in this room.,40
8665,Reduce the sound,35
8666,send a tweet to u.p.c. that the cable no longer works in the highland terrace,47
8667,Can you set green light in this room?,1
8668,Please play my favorite pop songs from my list,45
8669,Check the train time one eight one seven from West Warsaw Station on Monday,42
8670,What is the movement on the Marseille Street?,11
8671,Can you book a taxi?,54
8672,Can you play my favorite music?,45
8673,Get me to the hairdresser on the boat on April 1st,50
8674,Play the latest disco polo music,45
8675,Check out the last list.,53
8676,What is my favorite music at this time?,57
8677,Can you put it on the façade?,47
8678,Do I have to use the filter cream before I go to a meeting with a colleague for lunch?,13
8679,hwy olly which hour,0
8680,Remove all data from the calendar.,30
8681,The Geographic Region of Madagascar,49
8682,What to Play in Multiplayer,55
8683,Lighting up to 40 percent,31
8684,Who won the game yesterday,12
8685,Leave a podcast about the latest films about yoga,58
8686,Reply to Adam warning him of the mows on the beach.,33
8687,Are there any runs on the Pradesh?,6
8688,Send a mail to Zori,33
8689,The God of Small Things,20
8690,Olly play little marily rodowicz,45
8691,Remove my meeting for tomorrow.,30
8692,Add a football match on January 2nd.,50
8693,Donald Trump,22
8694,Check if you can get out of this restaurant.,3
8695,What is the weather now,13
8696,What is my meeting on Thursday,32
8697,Remember to eat when I get home.,50
8698,Define Astronomy,26
8699,Activate the radio at low volume.,35
8700,Please write this song to my favourites.,43
8701,Hour E,48
8702,When Brian Adams was born,49
8703,Turn off the speakers in the salon.,46
8704,Please keep the memorial on Sunday at 11 a.m.,50
8705,Play Inspection,20
8706,Deactivate the Nest,8
8707,What is the weather in the funeral today?,13
8708,How far is the Canyon?,49
8709,Start the new laydi gagi playlist,45
8710,I want to be your friend,12
8711,What is the exchange rate of the dollar and the euro?,10
8712,Define a computer game,26
8713,hej olly I need you to make a list of the basketball players of the Polish team who played in the international team in two thousand fourteen,21
8714,Tell me if I can order meals from a chisza restaurant.,3
8715,The latest rumors from Hollywood.,22
8716,Add the event to the calendar,50
8717,What is Open to Late in Warsaw,6
8718,What are my tasks,59
8719,What is the time in China?,0
8720,How to get to the nearest hut pizza,42
8721,Leave all my favorite Latin songs,45
8722,10 a.m. in the east time.,0
8723,Toughened Laminated,46
8724,I had a bad day today.,12
8725,Which I have to accept,32
8726,Remember tomorrow's meeting with Jan.,50
8727,Write a mail to July with information that I can meet her on Saturday at 13 a.m.,33
8728,Show me my social media messages.,27
8729,What day of the week will be on April 5th?,0
8730,What is the highest temperature this week?,13
8731,Give me the statistics of the warrior.,49
8732,How many kilometers are between Cracovia and Cracovia?,49
8733,Play fun music,45
8734,There are only two countries in Asia.,49
8735,Play on Radio,36
8736,Every day between the twenty-two and the seventh of the morning I have to write to all the emails.,33
8737,Weather Sopot,13
8738,Include the rubber,34
8739,Activate the Drying Robot,34
8740,Play Jazz by Sanah,45
8741,Please remove triceps pulldown from my training list,53
8742,Add work to my calendar every Friday,50
8743,Do I have a mail from work?,44
8744,Enable the Dryer,34
8745,Add the article,21
8746,Please add a birthday party on Saturday evening.,50
8747,Mode of Silence,46
8748,Is there a step on the way to the golden terraces?,11
8749,switch the lights in the children's bedroom and then change the lights in my room to red.,40
8750,Can you open an email and create a new,33
8751,Tell me when Trump will appear in the news.,22
8752,The latest news about Donald Trump,22
8753,Wake up at eight and fifth in the morning.,48
8754,Play a podcast reporter,58
8755,Delete the light,40
8756,I want to hear the audio book of Torey Hayden.,20
8757,I have to send a new message here you have an address then add it to your contact list,33
8758,Can you stop inspection?,20
8759,Where is Obama?,49
8760,What is the price pgnig?,4
8761,Teach children to never open the door when they are alone at home.,52
8762,falling in the catowns.,13
8763,Remove all data from the calendar.,30
8764,What's the fastest way to my grandmother's home?,42
8765,What Happens Today,32
8766,For what purpose this event was added?,32
8767,What is the hour in Warsaw?,0
8768,Tell me something about Mount Rushmore,49
8769,Olly is a good rap album that was released this year.,57
8770,How big is the Palace of Culture?,49
8771,Please note that I have not received my order in time.,47
8772,Ask Jana and Joan if they can attend tomorrow's meeting at 11 a.m.,50
8773,Please put me on my back.,12
8774,What are my alarms?,23
8775,How to get to the star,42
8776,Do I have a meeting tomorrow?,32
8777,Dry home,34
8778,Find an hour of train to New York,42
8779,Show Projections Hours,55
8780,Reply to the mail received.,33
8781,Buy a Starbucks cafe.,56
8782,Play film music,45
8783,What is the formation of the area in this region?,49
8784,Alarm in the morning.,48
8785,Play jazz music,45
8786,Remember the meeting,50
8787,Planning clothes in twenty minutes to tesco at Marsalkovskaya,54
8788,Remind me of the chemistry exam three days earlier,50
8789,What is the exchange between the dollar and the euro,10
8790,Remind me to pay bills at the beginning of each month.,50
8791,What is the next event,32
8792,Fox News announces the latest news.,22
8793,Start the alarm in an hour.,48
8794,Should you take a jacket today?,13
8795,How much sugar to add to frozen tea,9
8796,Find my nearest rock station.,36
8797,alert,50
8798,How to make a grill steak,9
8799,Remove all events,30
8800,10 plus y,39
8801,Are there any alarms for today?,23
8802,How to save money on food shopping for a six-person family,12
8803,Send an email to my boss that I'm late today,33
8804,I like jazz,43
8805,Crossing the Podcast,58
8806,Remove Events,30
8807,Remember tomorrow's meeting tonight.,50
8808,Find the train from Prague to Prague,42
8809,The price of ACG,4
8810,A song that brings some memories,43
8811,Information about Celebrity,49
8812,Start the alarm at 9 a.m.,48
8813,The price of the rail ticket from Warsaw to Intersources,42
8814,Please repeat it all,28
8815,Today was a very hot day.,12
8816,Give the full data.,59
8817,Remove Events,30
8818,Olli is silent,14
8819,Take me to the nearest railway station.,42
8820,Song Over the Rainbow,45
8821,Can you tell me what this landar is?,26
8822,Google can leave a free evening on Monday to date with Karol,50
8823,Can I hear the fifty hits you can now hear on radio?,45
8824,Radio FM Radio ZET,36
8825,Start the playlist to get your dog out.,45
8826,Remember how I reviewed this song.,43
8827,Call me a taxi to come this evening at 5 p.m.,54
8828,Add take children from school from my list of things to do for today,21
8829,Michael Jackson died.,49
8830,Today is March 6th.,0
8831,I need reminders of the Friday meeting.,50
8832,I want coffee,56
8833,Play some metal music.,45
8834,How much is the Argentine peso in pounds?,10
8835,Planning a meeting with Peter Adamic today at 6 a.m.,50
8836,Divide twenty into two.,39
8837,It will be more than 10 degrees.,13
8838,Remember time to do something.,50
8839,What the royal means,26
8840,Do I have new tweets?,27
8841,Defining the word school.,26
8842,How long does the way home take?,11
8843,Stop yourself,46
8844,Add a gmail point com to my contacts,15
8845,Play Angry Birds,51
8846,Cancel my birthday reception.,30
8847,What is Coral,49
8848,Send an email to my mother asking me what the weather will be so that I know what to pack.,33
8849,What highly valued critics movies are playing this weekend,55
8850,Who is the current President of the United States?,49
8851,Meeting at the third afternoon tomorrow remind me four hours earlier,50
8852,Tell me a day soup at the Charlotte restaurant.,3
8853,I no longer need to go to the doctor you can remove this event,30
8854,Please add the next piece.,45
8855,Olly tell what stores are near me,19
8856,You can remind me of removing waste on Thursday.,50
8857,The cheapest train ticket to Warsaw,2
8858,What to do today after lunch,32
8859,How Much The Orange Weight,49
8860,What is on the list,59
8861,Please cappuccino,56
8862,My order is ready.,3
8863,How long is the Nil River?,49
8864,Show me a plan,32
8865,Every book about Harry Potter.,49
8866,Breakfast at home terrace,30
8867,Play chess with me.,51
8868,Who Sings,57
8869,What a funny joke.,25
8870,The Bad Day in Starbucks,47
8871,The noise of my speakers.,14
8872,What is the weather for you to know in Poland?,13
8873,Add butter to the list.,21
8874,Where is my list,59
8875,Find me the radio channel.,36
8876,I need sleep,12
8877,Playing Chess Together,51
8878,It’s a good day to go to the beach.,13
8879,Alexo send an email to this new address,33
8880,How many centimeters has one foot?,39
8881,Where is the shirt shop?,19
8882,Olly what high-rated restaurants are in the area,19
8883,Warren Buffett invests in the shares I have on my list,4
8884,Play the music given by the artist,45
8885,What news is in Poland?,22
8886,Can you play my last song?,45
8887,Alex reboot the joes book since I finished the last time,20
8888,Now it falls in the shade.,13
8889,Olli what further,12
8890,The work is now published by the artist.,57
8891,Remove the post from the list,53
8892,Clean the speakers up to 5 percent,35
8893,Find my emails about working hours.,44
8894,Find a recipe for chicken in Alfredo sauce,9
8895,I just lost my wallet today.,12
8896,Can you tell me when the second will be?,50
8897,The email must contain,33
8898,I want to listen to some music or pop songs.,45
8899,increase the noise of the speakers,14
8900,What is feedback from customer service,47
8901,Play some Madonna music.,45
8902,Look quiet until tomorrow.,46
8903,I have a new mail.,44
8904,What is Today,5
8905,When is Halloween,0
8906,Lovely,9
8907,What New Today,22
8908,Think of the day when you stop working.,12
8909,Keep the settings,28
8910,"Alex, please turn the light.",41
8911,which is the day,0
8912,My favorite pizza is available.,3
8913,I have a mail from Joshua.,44
8914,The latest price of the allegro stock,4
8915,What is more worth the US dollar or the euro?,10
